"FA" "MA" "Math" "SCIE" "READ"
"148197" 1 0 687.108 691.942 651.472
"148198" 0 0 500.396 522.698 498.612
"148199" 1 1 622.3 679.26 619.454
"148200" 1 1 546.508 601.774 566.468
"148201" 0 0 567.308 584.988 547.8
"148202" 1 0 689.834 697.164 633.372
"148203" 1 1 577.746 604.384 555.664
"148204" NA NA 649.642 682.712 581.584
"148205" 1 1 707.828 752.274 649.646
"148206" 1 1 642.478 712.272 641.858
"148207" 1 0 656.342 642.8 628.512
"148208" 1 1 534.282 578.928 489.872
"148209" 1 1 578.136 616.132 548.434
"148210" 1 1 566.062 621.074 488.028
"148211" 1 1 505.304 519.714 427.022
"148212" 0 0 592.466 607.926 606.666
"148213" 1 1 557.338 590.21 470.232
"148214" 1 1 561.622 583.59 576.876
"148215" 1 0 598.076 612.588 570.994
"148216" 1 1 622.38 687.748 617.818
"148217" 0 0 610.77 614.08 573.006
"148218" 1 NA 659.768 690.266 659.254
"148219" 1 1 587.56 568.948 545.83
"148220" 1 1 687.812 700.804 631.766
"148221" 0 0 612.486 599.16 542.058
"148222" 1 1 632.818 655.95 553.124
"148223" 1 1 624.25 678.422 643.444
"148224" 1 1 695.444 741.458 612.528
"148225" 0 1 557.726 600 577.984
"148226" 1 0 638.346 649.234 626.366
"148227" 1 1 624.248 681.218 636.136
"148228" NA 1 603.45 607.086 566.706
"148229" 1 1 643.566 654.362 636.058
"148230" 1 1 573.228 587.974 558.128
"148231" 1 1 726.6 725.14 716.134
"148232" 1 1 697.078 733.44 644.478
"148233" 1 1 586.158 644.386 647.498
"148234" NA NA 562.554 606.248 528.592
"148235" 1 1 677.604 739.502 676.968
"148236" NA 1 516.446 596.364 600.15
"148237" 0 0 487.156 544.892 531.83
"148238" 0 1 584.444 684.856 581.022
"148239" 0 0 516.288 533.328 521.508
"148240" 1 1 619.73 645.412 580.302
"148241" 1 1 633.362 669.658 566.59
"148242" 1 1 618.486 699.778 581.988
"148243" NA NA 614.276 671.894 586.314
"148244" 0 0 567.542 639.816 566.628
"148245" 1 1 629.312 686.536 617.658
"148246" 1 1 502.89 566.522 536.29
"148247" 0 0 569.8 569.042 516.246
"148248" 0 0 605.71 642.612 552.24
"148249" 1 0 668.414 713.298 594.648
"148250" 1 0 584.056 580.604 507.83
"148251" 1 1 554.846 585.174 554.87
"148252" 1 1 626.586 660.334 674.188
"148253" NA NA 581.176 593.938 521.86
"148254" 1 1 604.932 623.87 555.53
"148255" 1 1 522.364 600.186 545.736
